,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
65,21/09/2022 20:27:34911000,,379.664,343.064,363.804,207.888,250.524.835,113,65535,65535
66,21/09/2022 20:27:35909400,,380.884,345.504,363.072,208.132,250.524.835,111,65535,65535
67,21/09/2022 20:27:36907800,,38.308,344.528,363.804,208.132,247.747.675,111,65535,65535
68,21/09/2022 20:27:37906200,,384.056,344.528,363.804,208.376,251.450.555,111,65535,65535
69,21/09/2022 20:27:38904600,,384.056,345.504,36.478,208.376,251.450.555,113,65535,65535
70,21/09/2022 20:27:39918600,,382.104,345.748,36.478,208.132,252.376.275,111,65535,65535
71,21/09/2022 20:27:40917000,,382.104,345.504,365.024,208.132,252.376.275,110,65535,65535
72,21/09/2022 20:27:41915400,,38.064,345.992,366.976,206.912,252.376.275,111,65535,65535
73,21/09/2022 20:27:42913800,,37.82,346.968,366.976,208.132,254.227.715,110,65535,65535
74,21/09/2022 20:27:43912200,,375.516,347.212,367.708,206.912,252.376.275,111,65535,65535
75,21/09/2022 20:27:44910600,,372.588,347.944,368.928,207.156,249.599.115,111,65535,65535
76,21/09/2022 20:27:45909000,,37.21,348.432,36.844,208.132,247.747.675,111,65535,65535
77,21/09/2022 20:27:46907400,,370.148,350.384,36.966,207.156,252.376.275,110,65535,65535
78,21/09/2022 20:27:47921400,,37.21,350.628,370.148,207.156,254.227.715,111,65535,65535
79,21/09/2022 20:27:48904200,,373.564,350.628,370.148,207.156,255.153.435,112,65535,65535
80,21/09/2022 20:27:49918200,,376.004,350.628,369.904,208.132,254.227.715,111,65535,65535
81,21/09/2022 20:27:50916600,,379.176,349.164,36.966,207.156,254.227.715,110,65535,65535
82,21/09/2022 20:27:51915000,,382.104,347.944,36.966,208.376,255.153.435,108,65535,65535
83,21/09/2022 20:27:52913400,,384.056,347.944,36.844,208.376,254.227.715,110,65535,65535
84,21/09/2022 20:27:53896200,,385.032,34.77,36.844,208.376,252.376.275,112,65535,65535
85,21/09/2022 20:27:54925800,,386.496,345.992,367.708,208.132,255.153.435,111,65535,65535
86,21/09/2022 20:27:55908600,,388.448,34.77,367.464,208.132,255.153.435,112,65535,65535
87,21/09/2022 20:27:56922600,,387.472,349.164,367.708,209.108,254.227.715,110,65535,65535
88,21/09/2022 20:27:57905400,,388.936,350.384,36.966,20.862,250.524.835,108,65535,65535
89,21/09/2022 20:27:58903800,,38.796,350.628,369.904,208.132,251.450.555,110,65535,65535
90,21/09/2022 20:27:59917800,,387.228,350.384,370.148,20.74,254.227.715,112,65535,65535
91,21/09/2022 20:28:00916200,,38.552,35.136,370.148,208.132,255.153.435,112,65535,65535
92,21/09/2022 20:28:01899000,,384.056,352.336,371.124,208.132,255.153.435,112,65535,65535
93,21/09/2022 20:28:02913000,,38.308,35.258,372.588,207.156,255.153.435,113,65535,65535
94,21/09/2022 20:28:03911400,,382.836,352.336,37.332,208.376,255.153.435,112,65535,65535
95,21/09/2022 20:28:04909800,,38.308,351.848,37.332,208.376,256.079.155,112,65535,65535
96,21/09/2022 20:28:05892600,,385.276,352.824,37.454,208.376,255.153.435,112,65535,65535
97,21/09/2022 20:28:06891000,,385.032,353.556,374.784,208.132,256.079.155,113,65535,65535
98,21/09/2022 20:28:07920600,,386.496,354.044,374.784,208.376,255.153.435,111,65535,65535
99,21/09/2022 20:28:08903400,,387.472,35.38,37.454,208.132,255.153.435,110,65535,65535
100,21/09/2022 20:28:09901800,,38.918,354.044,374.784,208.132,254.227.715,110,65535,65535
101,21/09/2022 20:28:10915800,,389.668,354.288,375.272,208.132,256.079.155,111,65535,65535
102,21/09/2022 20:28:11898600,,39.162,35.38,37.454,208.376,255.153.435,110,65535,65535
103,21/09/2022 20:28:12912600,,392.352,354.776,374.784,20.74,251.450.555,110,65535,65535
104,21/09/2022 20:28:13911000,,392.352,354.288,374.784,206.912,252.376.275,110,65535,65535
105,21/09/2022 20:28:14909400,,393.328,354.288,376.492,20.74,252.376.275,111,65535,65535
106,21/09/2022 20:28:15907800,,393.328,355.508,37.698,20.74,254.227.715,112,65535,65535
107,21/09/2022 20:28:16906200,,392.352,35.502,377.712,208.132,256.079.155,112,65535,65535
108,21/09/2022 20:28:17904600,,393.328,356.484,377.712,208.132,257.004.875,112,65535,65535
109,21/09/2022 20:28:18918600,,392.108,35.746,378.444,208.132,254.227.715,112,65535,65535
110,21/09/2022 20:28:19917000,,392.108,35.746,37.942,208.376,254.227.715,113,65535,65535
111,21/09/2022 20:28:20915400,,392.352,359.656,37.942,20.862,251.450.555,115,65535,65535
112,21/09/2022 20:28:21898200,,393.572,35.868,380.152,208.132,254.227.715,113,65535,65535
113,21/09/2022 20:28:22912200,,393.816,35.868,381.372,207.156,251.450.555,111,65535,65535
114,21/09/2022 20:28:23879400,,393.572,35.868,381.128,208.132,252.376.275,111,65535,65535
115,21/09/2022 20:28:24877800,,393.328,35.868,381.372,208.132,251.450.555,110,65535,65535
116,21/09/2022 20:28:25907400,,394.792,35.868,38.186,207.888,252.376.275,110,65535,65535
117,21/09/2022 20:28:26921400,,394.304,358.436,38.186,208.376,250.524.835,111,65535,65535
118,21/09/2022 20:28:27919800,,394.304,357.216,382.836,20.74,250.524.835,112,65535,65535
119,21/09/2022 20:28:28902600,,393.572,35.868,382.592,208.376,251.450.555,111,65535,65535
120,21/09/2022 20:28:29916600,,394.792,35.868,382.836,208.132,254.227.715,110,65535,65535
121,21/09/2022 20:28:30899400,,394.548,358.436,383.568,208.132,254.227.715,111,65535,65535
122,21/09/2022 20:28:31913400,,394.548,360.144,382.836,208.132,254.227.715,110,65535,65535
123,21/09/2022 20:28:32911800,,394.792,360.876,38.308,208.132,254.227.715,111,65535,65535
124,21/09/2022 20:28:33910200,,394.792,362.096,38.308,20.74,252.376.275,110,65535,65535
125,21/09/2022 20:28:34908600,,394.792,361.852,384.056,208.132,254.227.715,112,65535,65535
126,21/09/2022 20:28:35907000,,395.768,361.364,383.812,208.132,255.153.435,115,65535,65535
127,21/09/2022 20:28:36905400,,395.524,362.096,383.812,207.156,254.227.715,112,65535,65535
128,21/09/2022 20:28:37919400,,396.744,362.096,384.056,207.156,255.153.435,115,65535,65535
129,21/09/2022 20:28:38917800,,396.744,361.852,385.032,207.888,252.376.275,112,65535,65535
130,21/09/2022 20:28:39916200,,397.232,361.852,385.276,20.74,252.376.275,111,65535,65535
131,21/09/2022 20:28:40914600,,396.256,36.356,38.552,206.912,252.376.275,112,65535,65535
132,21/09/2022 20:28:41897400,,396.256,36.356,386.008,207.156,252.376.275,113,65535,65535
133,21/09/2022 20:28:42911400,,396.988,362.096,38.552,20.862,255.153.435,116,65535,65535
134,21/09/2022 20:28:43909800,,396.988,362.096,386.008,208.132,254.227.715,112,65535,65535
135,21/09/2022 20:28:44923800,,396.256,361.364,386.252,208.376,255.153.435,112,65535,65535
136,21/09/2022 20:28:50992200,,396.744,362.096,387.472,208.132,256.079.155,111,65535,65535
137,21/09/2022 20:28:52068600,,396.256,36.112,388.204,208.132,252.376.275,111,65535,65535
138,21/09/2022 20:28:53004600,,397.232,362.096,387.716,208.376,251.450.555,111,65535,65535
139,21/09/2022 20:28:54018600,,396.744,363.072,387.472,208.132,251.450.555,111,65535,65535
140,21/09/2022 20:28:55141800,,396.744,361.852,387.472,208.132,250.524.835,111,65535,65535
141,21/09/2022 20:28:56031000,,397.476,362.096,387.716,207.156,251.450.555,111,65535,65535
142,21/09/2022 20:28:57029400,,397.476,361.852,387.716,20.862,251.450.555,112,65535,65535
143,21/09/2022 20:28:58012200,,396.988,363.316,387.716,20.74,252.376.275,112,65535,65535
144,21/09/2022 20:28:59041800,,396.988,363.804,387.472,207.888,252.376.275,112,65535,65535
145,21/09/2022 20:29:00009000,,397.232,363.804,387.716,208.376,252.376.275,115,65535,65535
146,21/09/2022 20:29:01007400,,397.232,361.852,387.716,208.132,252.376.275,110,65535,65535
147,21/09/2022 20:29:02005800,,397.476,362.096,388.204,20.862,251.450.555,112,65535,65535
148,21/09/2022 20:29:03019800,,395.524,362.096,389.424,208.132,255.153.435,113,65535,65535
149,21/09/2022 20:29:04018200,,394.792,362.096,389.424,20.74,256.079.155,108,65535,65535
150,21/09/2022 20:29:05016600,,395.036,36.356,389.424,208.132,257.004.875,111,65535,65535
151,21/09/2022 20:29:06061800,,394.792,36.356,389.668,208.132,256.079.155,111,65535,65535
152,21/09/2022 20:29:07013400,,395.524,363.316,389.668,208.132,258.856.315,112,65535,65535
153,21/09/2022 20:29:08058600,,396.988,363.804,389.668,208.132,257.004.875,111,65535,65535
154,21/09/2022 20:29:09010200,,396.988,363.072,389.424,207.888,252.376.275,111,65535,65535
