,Data,T1,T2,T3,T4,F1,F2,Empty1,Empty2
1021,26/09/2022 21:00:39971800,38.0884,32.6716,33.5256,20.374,199.610235,166,65535,65535
1022,26/09/2022 21:00:40970200,38.2592,32.6228,33.7452,20.374,198.684515,171,65535,65535
1023,26/09/2022 21:00:41968600,38.2104,32.3788,33.8672,20.3496,198.684515,171,65535,65535
1024,26/09/2022 21:00:47943400,38.186,32.574,34.648,20.4472,229.233275,166,65535,65535
1025,26/09/2022 21:00:48957400,38.186,33.2328,34.77,20.3984,232.010435,167,65535,65535
1026,26/09/2022 21:00:49971400,38.186,33.2816,34.9408,20.3984,231.084715,167,65535,65535
1027,26/09/2022 21:00:50969800,38.2104,33.2816,35.0628,20.4472,233.861875,167,65535,65535
1028,26/09/2022 21:00:51968200,38.3324,33.4036,35.1116,20.3984,236.639035,167,65535,65535
1029,26/09/2022 21:00:52966600,38.1616,33.3548,35.0628,20.3496,235.713315,166,65535,65535
1030,26/09/2022 21:00:53949400,38.1616,33.3304,35.3068,20.374,235.713315,167,65535,65535
1031,26/09/2022 21:00:54963400,38.1372,33.3304,35.4044,20.3984,236.639035,167,65535,65535
1032,26/09/2022 21:00:55946200,38.186,33.5744,35.4776,20.3984,236.639035,168,65535,65535
1033,26/09/2022 21:00:56944600,38.186,33.5744,35.5752,20.374,235.713315,168,65535,65535
1034,26/09/2022 21:00:57958600,38.186,33.5744,35.6728,20.3984,232.936155,168,65535,65535
1035,26/09/2022 21:00:58972600,38.186,33.6232,35.6972,20.3984,236.639035,168,65535,65535
1036,26/09/2022 21:00:59971000,38.186,33.8184,35.7948,20.3984,235.713315,166,65535,65535
1037,26/09/2022 21:01:00969400,38.308,33.6476,35.9168,20.4472,235.713315,165,65535,65535
1038,26/09/2022 21:01:01952200,38.4056,33.6964,35.8924,20.3496,233.861875,166,65535,65535
1039,26/09/2022 21:01:02966200,38.3324,33.6964,35.99,20.3984,233.861875,168,65535,65535
1040,26/09/2022 21:01:03964600,38.3812,33.7208,35.99,20.3984,233.861875,168,65535,65535
1041,26/09/2022 21:01:04947400,38.3324,33.7696,36.0144,20.4472,233.861875,168,65535,65535
1042,26/09/2022 21:01:05961400,38.4056,33.8672,36.0144,20.3496,235.713315,167,65535,65535
1043,26/09/2022 21:01:07022200,38.3812,33.8672,36.1608,20.3984,236.639035,167,65535,65535
1044,26/09/2022 21:01:07973800,38.3812,33.9648,36.1608,20.374,235.713315,167,65535,65535
1045,26/09/2022 21:01:08941000,38.3812,33.8672,36.1852,20.3984,237.564755,166,65535,65535
1046,26/09/2022 21:01:09970600,38.3812,33.9404,36.1852,20.3984,235.713315,167,65535,65535
1047,26/09/2022 21:01:10969000,38.3812,34.1112,36.234,20.3984,236.639035,167,65535,65535
1048,26/09/2022 21:01:11967400,38.43,34.1844,36.3072,20.3984,236.639035,168,65535,65535
1049,26/09/2022 21:01:12950200,38.4056,33.9892,36.3072,20.3984,237.564755,170,65535,65535
1050,26/09/2022 21:01:13995400,38.4056,33.9404,36.356,20.4716,233.861875,171,65535,65535
1051,26/09/2022 21:01:14931400,38.4056,33.9892,36.356,20.4472,233.861875,171,65535,65535
1052,26/09/2022 21:01:15976600,38.43,34.1844,36.478,20.4472,233.861875,168,65535,65535
1053,26/09/2022 21:01:16975000,38.3324,34.4528,36.5024,20.4472,235.713315,170,65535,65535
1054,26/09/2022 21:01:17957800,38.4056,34.2332,36.478,20.4716,236.639035,168,65535,65535
1055,26/09/2022 21:01:18956200,38.3812,34.16,36.5268,20.4472,235.713315,168,65535,65535
1056,26/09/2022 21:01:19970200,38.3812,34.1844,36.478,20.4472,236.639035,170,65535,65535
1057,26/09/2022 21:01:21015400,38.3324,34.2088,36.5268,20.374,232.010435,168,65535,65535
1058,26/09/2022 21:01:21967000,38.3812,34.0868,36.6,20.4472,232.936155,167,65535,65535
1059,26/09/2022 21:01:22965400,38.3812,33.9404,36.6244,20.3984,232.010435,170,65535,65535
1060,26/09/2022 21:01:23979400,38.3812,33.9892,36.6488,20.4472,235.713315,168,65535,65535
1061,26/09/2022 21:01:24977800,38.4056,34.16,36.6488,20.3984,236.639035,168,65535,65535
1062,26/09/2022 21:01:25960600,38.3812,34.1112,36.6244,20.4472,232.936155,167,65535,65535
1063,26/09/2022 21:01:26959000,38.3812,34.1844,36.6,20.3984,236.639035,167,65535,65535
1064,26/09/2022 21:01:27957400,38.3812,34.16,36.6488,20.3252,236.639035,167,65535,65535
1065,26/09/2022 21:01:28955800,38.3812,33.9892,36.6244,20.374,236.639035,167,65535,65535
1066,26/09/2022 21:01:29969800,38.3812,33.9892,36.6976,20.3252,235.713315,168,65535,65535
1067,26/09/2022 21:01:30968200,38.3812,34.2332,36.6488,20.374,235.713315,168,65535,65535
1068,26/09/2022 21:01:31966600,38.3812,34.1844,36.6488,20.3252,235.713315,167,65535,65535
1069,26/09/2022 21:01:32980600,38.3812,33.9404,36.6244,20.3984,235.713315,167,65535,65535
1070,26/09/2022 21:01:33963400,38.3324,33.9892,36.6488,20.374,233.861875,167,65535,65535
1071,26/09/2022 21:01:34961800,38.3812,34.1112,36.722,20.374,235.713315,167,65535,65535
1072,26/09/2022 21:01:35960200,38.3812,34.1112,36.8196,20.3496,235.713315,168,65535,65535
1073,26/09/2022 21:01:36974200,38.4544,34.16,36.8196,20.374,236.639035,167,65535,65535
1074,26/09/2022 21:01:37972600,38.4056,34.2332,36.8196,20.374,236.639035,168,65535,65535
1075,26/09/2022 21:01:38971000,38.4056,34.282,36.8684,20.3252,236.639035,168,65535,65535
1076,26/09/2022 21:01:39969400,38.308,34.2088,36.844,20.252,233.861875,167,65535,65535
1077,26/09/2022 21:01:40967800,38.4056,34.3308,36.8684,20.3496,235.713315,166,65535,65535
1078,26/09/2022 21:01:41950600,38.4056,34.404,36.8684,20.374,235.713315,168,65535,65535
1079,26/09/2022 21:01:42964600,38.43,34.3552,36.8684,20.3252,232.936155,171,65535,65535
1080,26/09/2022 21:01:43963000,38.4056,34.1844,36.8684,20.3984,235.713315,170,65535,65535
1081,26/09/2022 21:01:44961400,38.3324,34.1844,36.8684,20.3496,232.936155,171,65535,65535
1082,26/09/2022 21:01:45975400,38.3324,34.1844,36.8684,20.2764,235.713315,171,65535,65535
1083,26/09/2022 21:01:46973800,38.4056,34.4284,36.8684,20.374,235.713315,168,65535,65535
1084,26/09/2022 21:01:47972200,38.4056,34.3064,36.8684,20.374,229.233275,168,65535,65535
1085,26/09/2022 21:01:48970600,38.3812,34.16,36.8684,20.2764,232.936155,166,65535,65535
1086,26/09/2022 21:01:49953400,38.3812,34.4284,36.8196,20.374,235.713315,167,65535,65535
1087,26/09/2022 21:01:50951800,38.3812,34.404,36.8684,20.3252,235.713315,167,65535,65535
1088,26/09/2022 21:01:51950200,38.3812,34.16,36.8928,20.3496,236.639035,167,65535,65535
1089,26/09/2022 21:01:52964200,38.3812,34.16,36.8928,20.2764,236.639035,166,65535,65535
1090,26/09/2022 21:01:53978200,38.3812,34.16,36.8928,20.3252,237.564755,167,65535,65535
1091,26/09/2022 21:01:54976600,38.308,34.0868,36.8928,20.3252,236.639035,166,65535,65535
1092,26/09/2022 21:01:55975000,38.4056,33.9648,36.8928,20.3252,236.639035,167,65535,65535
1093,26/09/2022 21:01:56973400,38.4056,34.2332,36.9416,20.252,233.861875,168,65535,65535
1094,26/09/2022 21:01:57956200,38.43,34.2088,36.8928,20.3252,235.713315,167,65535,65535
1095,26/09/2022 21:01:58970200,38.4544,34.404,36.8684,20.2032,233.861875,167,65535,65535
1096,26/09/2022 21:01:59968600,38.4056,34.3308,36.8928,20.3252,237.564755,168,65535,65535
1097,26/09/2022 21:02:00967000,38.4056,34.4772,36.8928,20.252,236.639035,168,65535,65535
1098,26/09/2022 21:02:01981000,38.4056,34.4772,36.9416,20.1544,233.861875,167,65535,65535
1099,26/09/2022 21:02:02979400,38.3812,34.4528,36.9416,20.3496,233.861875,171,65535,65535
1100,26/09/2022 21:02:03977800,38.4056,34.4528,36.8928,20.3252,235.713315,170,65535,65535
1101,26/09/2022 21:02:04960600,38.43,34.4772,36.8684,20.2764,233.861875,170,65535,65535
1102,26/09/2022 21:02:05959000,38.43,34.2088,36.8928,20.2276,232.936155,168,65535,65535
1103,26/09/2022 21:02:06957400,38.43,34.2332,36.8684,20.3252,233.861875,168,65535,65535
1104,26/09/2022 21:02:07955800,38.4056,34.4284,36.8928,20.2764,232.936155,168,65535,65535
1105,26/09/2022 21:02:08954200,38.4056,34.2332,36.8928,20.3252,233.861875,168,65535,65535
1106,26/09/2022 21:02:09968200,38.43,33.8916,36.8928,20.3252,236.639035,168,65535,65535
1107,26/09/2022 21:02:10982200,38.5032,34.0868,36.8928,20.252,233.861875,167,65535,65535
