,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
61,21/09/2022 20:27:30901800,,"37,2344","34,3552","36,1608","20,8132","252,376275",112,65535,65535
62,21/09/2022 20:27:31900200,,"37,4784","34,5504","36,356","20,8132","255,153435",112,65535,65535
63,21/09/2022 20:27:32914200,,"37,6736","34,3308","36,3072","20,8132","252,376275",111,65535,65535
64,21/09/2022 20:27:33912600,,"37,8444","34,404","36,356","20,8132","252,376275",111,65535,65535
65,21/09/2022 20:27:34911000,,"37,9664","34,3064","36,3804","20,7888","250,524835",113,65535,65535
66,21/09/2022 20:27:35909400,,"38,0884","34,5504","36,3072","20,8132","250,524835",111,65535,65535
67,21/09/2022 20:27:36907800,,"38,308","34,4528","36,3804","20,8132","247,747675",111,65535,65535
68,21/09/2022 20:27:37906200,,"38,4056","34,4528","36,3804","20,8376","251,450555",111,65535,65535
69,21/09/2022 20:27:38904600,,"38,4056","34,5504","36,478","20,8376","251,450555",113,65535,65535
70,21/09/2022 20:27:39918600,,"38,2104","34,5748","36,478","20,8132","252,376275",111,65535,65535
71,21/09/2022 20:27:40917000,,"38,2104","34,5504","36,5024","20,8132","252,376275",110,65535,65535
72,21/09/2022 20:27:41915400,,"38,064","34,5992","36,6976","20,6912","252,376275",111,65535,65535
73,21/09/2022 20:27:42913800,,"37,82","34,6968","36,6976","20,8132","254,227715",110,65535,65535
74,21/09/2022 20:27:43912200,,"37,5516","34,7212","36,7708","20,6912","252,376275",111,65535,65535
75,21/09/2022 20:27:44910600,,"37,2588","34,7944","36,8928","20,7156","249,599115",111,65535,65535
76,21/09/2022 20:27:45909000,,"37,21","34,8432","36,844","20,8132","247,747675",111,65535,65535
77,21/09/2022 20:27:46907400,,"37,0148","35,0384","36,966","20,7156","252,376275",110,65535,65535
78,21/09/2022 20:27:47921400,,"37,21","35,0628","37,0148","20,7156","254,227715",111,65535,65535
79,21/09/2022 20:27:48904200,,"37,3564","35,0628","37,0148","20,7156","255,153435",112,65535,65535
80,21/09/2022 20:27:49918200,,"37,6004","35,0628","36,9904","20,8132","254,227715",111,65535,65535
81,21/09/2022 20:27:50916600,,"37,9176","34,9164","36,966","20,7156","254,227715",110,65535,65535
82,21/09/2022 20:27:51915000,,"38,2104","34,7944","36,966","20,8376","255,153435",108,65535,65535
83,21/09/2022 20:27:52913400,,"38,4056","34,7944","36,844","20,8376","254,227715",110,65535,65535
84,21/09/2022 20:27:53896200,,"38,5032","34,77","36,844","20,8376","252,376275",112,65535,65535
85,21/09/2022 20:27:54925800,,"38,6496","34,5992","36,7708","20,8132","255,153435",111,65535,65535
86,21/09/2022 20:27:55908600,,"38,8448","34,77","36,7464","20,8132","255,153435",112,65535,65535
87,21/09/2022 20:27:56922600,,"38,7472","34,9164","36,7708","20,9108","254,227715",110,65535,65535
88,21/09/2022 20:27:57905400,,"38,8936","35,0384","36,966","20,862","250,524835",108,65535,65535
89,21/09/2022 20:27:58903800,,"38,796","35,0628","36,9904","20,8132","251,450555",110,65535,65535
90,21/09/2022 20:27:59917800,,"38,7228","35,0384","37,0148","20,74","254,227715",112,65535,65535
91,21/09/2022 20:28:00916200,,"38,552","35,136","37,0148","20,8132","255,153435",112,65535,65535
92,21/09/2022 20:28:01899000,,"38,4056","35,2336","37,1124","20,8132","255,153435",112,65535,65535
93,21/09/2022 20:28:02913000,,"38,308","35,258","37,2588","20,7156","255,153435",113,65535,65535
94,21/09/2022 20:28:03911400,,"38,2836","35,2336","37,332","20,8376","255,153435",112,65535,65535
95,21/09/2022 20:28:04909800,,"38,308","35,1848","37,332","20,8376","256,079155",112,65535,65535
96,21/09/2022 20:28:05892600,,"38,5276","35,2824","37,454","20,8376","255,153435",112,65535,65535
97,21/09/2022 20:28:06891000,,"38,5032","35,3556","37,4784","20,8132","256,079155",113,65535,65535
98,21/09/2022 20:28:07920600,,"38,6496","35,4044","37,4784","20,8376","255,153435",111,65535,65535
99,21/09/2022 20:28:08903400,,"38,7472","35,38","37,454","20,8132","255,153435",110,65535,65535
100,21/09/2022 20:28:09901800,,"38,918","35,4044","37,4784","20,8132","254,227715",110,65535,65535
101,21/09/2022 20:28:10915800,,"38,9668","35,4288","37,5272","20,8132","256,079155",111,65535,65535
102,21/09/2022 20:28:11898600,,"39,162","35,38","37,454","20,8376","255,153435",110,65535,65535
103,21/09/2022 20:28:12912600,,"39,2352","35,4776","37,4784","20,74","251,450555",110,65535,65535
104,21/09/2022 20:28:13911000,,"39,2352","35,4288","37,4784","20,6912","252,376275",110,65535,65535
105,21/09/2022 20:28:14909400,,"39,3328","35,4288","37,6492","20,74","252,376275",111,65535,65535
106,21/09/2022 20:28:15907800,,"39,3328","35,5508","37,698","20,74","254,227715",112,65535,65535
107,21/09/2022 20:28:16906200,,"39,2352","35,502","37,7712","20,8132","256,079155",112,65535,65535
108,21/09/2022 20:28:17904600,,"39,3328","35,6484","37,7712","20,8132","257,004875",112,65535,65535
109,21/09/2022 20:28:18918600,,"39,2108","35,746","37,8444","20,8132","254,227715",112,65535,65535
110,21/09/2022 20:28:19917000,,"39,2108","35,746","37,942","20,8376","254,227715",113,65535,65535
111,21/09/2022 20:28:20915400,,"39,2352","35,9656","37,942","20,862","251,450555",115,65535,65535
112,21/09/2022 20:28:21898200,,"39,3572","35,868","38,0152","20,8132","254,227715",113,65535,65535
113,21/09/2022 20:28:22912200,,"39,3816","35,868","38,1372","20,7156","251,450555",111,65535,65535
114,21/09/2022 20:28:23879400,,"39,3572","35,868","38,1128","20,8132","252,376275",111,65535,65535
115,21/09/2022 20:28:24877800,,"39,3328","35,868","38,1372","20,8132","251,450555",110,65535,65535
116,21/09/2022 20:28:25907400,,"39,4792","35,868","38,186","20,7888","252,376275",110,65535,65535
117,21/09/2022 20:28:26921400,,"39,4304","35,8436","38,186","20,8376","250,524835",111,65535,65535
118,21/09/2022 20:28:27919800,,"39,4304","35,7216","38,2836","20,74","250,524835",112,65535,65535
119,21/09/2022 20:28:28902600,,"39,3572","35,868","38,2592","20,8376","251,450555",111,65535,65535
120,21/09/2022 20:28:29916600,,"39,4792","35,868","38,2836","20,8132","254,227715",110,65535,65535
121,21/09/2022 20:28:30899400,,"39,4548","35,8436","38,3568","20,8132","254,227715",111,65535,65535
122,21/09/2022 20:28:31913400,,"39,4548","36,0144","38,2836","20,8132","254,227715",110,65535,65535
123,21/09/2022 20:28:32911800,,"39,4792","36,0876","38,308","20,8132","254,227715",111,65535,65535
124,21/09/2022 20:28:33910200,,"39,4792","36,2096","38,308","20,74","252,376275",110,65535,65535
125,21/09/2022 20:28:34908600,,"39,4792","36,1852","38,4056","20,8132","254,227715",112,65535,65535
126,21/09/2022 20:28:35907000,,"39,5768","36,1364","38,3812","20,8132","255,153435",115,65535,65535
127,21/09/2022 20:28:36905400,,"39,5524","36,2096","38,3812","20,7156","254,227715",112,65535,65535
128,21/09/2022 20:28:37919400,,"39,6744","36,2096","38,4056","20,7156","255,153435",115,65535,65535
129,21/09/2022 20:28:38917800,,"39,6744","36,1852","38,5032","20,7888","252,376275",112,65535,65535
130,21/09/2022 20:28:39916200,,"39,7232","36,1852","38,5276","20,74","252,376275",111,65535,65535
131,21/09/2022 20:28:40914600,,"39,6256","36,356","38,552","20,6912","252,376275",112,65535,65535
132,21/09/2022 20:28:41897400,,"39,6256","36,356","38,6008","20,7156","252,376275",113,65535,65535
133,21/09/2022 20:28:42911400,,"39,6988","36,2096","38,552","20,862","255,153435",116,65535,65535
134,21/09/2022 20:28:43909800,,"39,6988","36,2096","38,6008","20,8132","254,227715",112,65535,65535
135,21/09/2022 20:28:44923800,,"39,6256","36,1364","38,6252","20,8376","255,153435",112,65535,65535
136,21/09/2022 20:28:50992200,,"39,6744","36,2096","38,7472","20,8132","256,079155",111,65535,65535
137,21/09/2022 20:28:52068600,,"39,6256","36,112","38,8204","20,8132","252,376275",111,65535,65535
138,21/09/2022 20:28:53004600,,"39,7232","36,2096","38,7716","20,8376","251,450555",111,65535,65535
139,21/09/2022 20:28:54018600,,"39,6744","36,3072","38,7472","20,8132","251,450555",111,65535,65535
140,21/09/2022 20:28:55141800,,"39,6744","36,1852","38,7472","20,8132","250,524835",111,65535,65535
141,21/09/2022 20:28:56031000,,"39,7476","36,2096","38,7716","20,7156","251,450555",111,65535,65535
142,21/09/2022 20:28:57029400,,"39,7476","36,1852","38,7716","20,862","251,450555",112,65535,65535
143,21/09/2022 20:28:58012200,,"39,6988","36,3316","38,7716","20,74","252,376275",112,65535,65535
144,21/09/2022 20:28:59041800,,"39,6988","36,3804","38,7472","20,7888","252,376275",112,65535,65535
145,21/09/2022 20:29:00009000,,"39,7232","36,3804","38,7716","20,8376","252,376275",115,65535,65535
146,21/09/2022 20:29:01007400,,"39,7232","36,1852","38,7716","20,8132","252,376275",110,65535,65535
147,21/09/2022 20:29:02005800,,"39,7476","36,2096","38,8204","20,862","251,450555",112,65535,65535
148,21/09/2022 20:29:03019800,,"39,5524","36,2096","38,9424","20,8132","255,153435",113,65535,65535
149,21/09/2022 20:29:04018200,,"39,4792","36,2096","38,9424","20,74","256,079155",108,65535,65535
